,Track
0,Feel Good Inc.
1,Rhinestone Eyes
2,New Gold (feat. Tame Impala and Bootie Brown)
3,On Melancholy Hill
4,Clint Eastwood
5,DARE
6,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix
7,She's My Collar (feat. Kali Uchis)
8,Cracker Island (feat. Thundercat)
9,Dirty Harry
10,Californication
11,Under the Bridge
12,Can't Stop
13,Scar Tissue
14,Otherside
15,Snow (Hey Oh)
16,Dani California
17,By the Way
18,Give It Away
19,Dark Necessities
20,In Da Club
21,Candy Shop
22,Just A Lil Bit
23,P.I.M.P.
24,Many Men (Wish Death)
25,Disco Inferno
26,21 Questions
27,Is This Love ('09) (feat. 50 Cent)
28,If I Can't
29,Best Friend - Remix
